group,dataset_family,count,proportion,group_size
All,CATSv2,1,0.002857142857142857,350
All,Daphnet,1,0.002857142857142857,350
All,Exathlon,30,0.08571428571428572,350
All,IOPS,15,0.04285714285714286,350
All,LTDB,8,0.022857142857142857,350
All,MGAB,8,0.022857142857142857,350
All,MITDB,7,0.02,350
All,MSL,7,0.02,350
All,NAB,23,0.06571428571428571,350
All,NEK,8,0.022857142857142857,350
All,OPPORTUNITY,27,0.07714285714285714,350
All,PSM,0,0.0,350
All,Power,1,0.002857142857142857,350
All,SED,2,0.005714285714285714,350
All,SKAB,0,0.0,350
All,SMAP,17,0.04857142857142857,350
All,SMD,33,0.09428571428571429,350
All,SVDB,18,0.05142857142857143,350
All,SWaT,1,0.002857142857142857,350
All,Stock,8,0.022857142857142857,350
All,TAO,2,0.005714285714285714,350
All,TODS,13,0.037142857142857144,350
All,UCR,70,0.2,350
All,WSD,20,0.05714285714285714,350
All,YAHOO,30,0.08571428571428572,350
Hard-20,MGAB,8,0.11428571428571428,70
Hard-20,MITDB,1,0.014285714285714285,70
Hard-20,MSL,1,0.014285714285714285,70
Hard-20,OPPORTUNITY,2,0.02857142857142857,70
Hard-20,PSM,0,0.0,70
Hard-20,SKAB,0,0.0,70
Hard-20,SMAP,2,0.02857142857142857,70
Hard-20,SMD,0,0.0,70
Hard-20,SVDB,1,0.014285714285714285,70
Hard-20,UCR,46,0.6571428571428571,70
Hard-20,WSD,3,0.04285714285714286,70
Hard-20,YAHOO,6,0.08571428571428572,70
Hard-30,MGAB,8,0.0761904761904762,105
Hard-30,MITDB,4,0.0380952380952381,105
Hard-30,MSL,1,0.009523809523809525,105
Hard-30,OPPORTUNITY,11,0.10476190476190476,105
Hard-30,PSM,0,0.0,105
Hard-30,Power,1,0.009523809523809525,105
Hard-30,SED,2,0.01904761904761905,105
Hard-30,SKAB,0,0.0,105
Hard-30,SMAP,2,0.01904761904761905,105
Hard-30,SMD,0,0.0,105
Hard-30,SVDB,9,0.08571428571428572,105
Hard-30,UCR,54,0.5142857142857142,105
Hard-30,WSD,3,0.02857142857142857,105
Hard-30,YAHOO,10,0.09523809523809523,105
Hard-50,CATSv2,1,0.005714285714285714,175
Hard-50,Exathlon,2,0.011428571428571429,175
Hard-50,IOPS,5,0.02857142857142857,175
Hard-50,LTDB,4,0.022857142857142857,175
Hard-50,MGAB,8,0.045714285714285714,175
Hard-50,MITDB,5,0.02857142857142857,175
Hard-50,MSL,2,0.011428571428571429,175
Hard-50,NAB,9,0.05142857142857143,175
Hard-50,OPPORTUNITY,26,0.14857142857142858,175
Hard-50,PSM,0,0.0,175
Hard-50,Power,1,0.005714285714285714,175
Hard-50,SED,2,0.011428571428571429,175
Hard-50,SKAB,0,0.0,175
Hard-50,SMAP,5,0.02857142857142857,175
Hard-50,SMD,2,0.011428571428571429,175
Hard-50,SVDB,18,0.10285714285714286,175
Hard-50,SWaT,1,0.005714285714285714,175
Hard-50,TODS,3,0.017142857142857144,175
Hard-50,UCR,57,0.32571428571428573,175
Hard-50,WSD,9,0.05142857142857143,175
Hard-50,YAHOO,15,0.08571428571428572,175
Easy-20,Exathlon,24,0.34285714285714286,70
Easy-20,IOPS,1,0.014285714285714285,70
Easy-20,MSL,2,0.02857142857142857,70
Easy-20,NAB,3,0.04285714285714286,70
Easy-20,NEK,3,0.04285714285714286,70
Easy-20,PSM,0,0.0,70
Easy-20,SKAB,0,0.0,70
Easy-20,SMAP,9,0.12857142857142856,70
Easy-20,SMD,14,0.2,70
Easy-20,Stock,8,0.11428571428571428,70
Easy-20,TAO,2,0.02857142857142857,70
Easy-20,TODS,2,0.02857142857142857,70
Easy-20,UCR,1,0.014285714285714285,70
Easy-20,YAHOO,1,0.014285714285714285,70
