detector,CDU,CDU_CI_low,CDU_CI_high,positive_sources,bootstrap_prob_source_macro_positive,n_series,n_sources,signature,dropped_family
SubPCA,0.0109011485382643,-0.0037159368592019,0.0274402403416686,12,0.9201,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
POLY,0.0004720668266064,-0.0034652749260004,0.0034778091633172,17,0.63,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
MOMENT_FT,-0.0003312534085762,-0.0015910230919339,0.0005752464505329,14,0.2907,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
MOMENT_ZS,-0.0005914082994119,-0.0011820370654425,-0.0001304868372198,5,0.0,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
M2N2,0.0116319290735064,-0.0008694983766519,0.0254019454788458,11,0.9631,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
TranAD,0.0028765889834758,-0.0046743701538328,0.0108089757600198,10,0.7621,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
TimesNet,-0.0004181851779923,-0.0013355994416054,0.0001060903573222,16,0.1868,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
FITS,-0.0002425043709274,-0.0023300162541934,0.0012899189485525,16,0.4324,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
AnomalyTransformer,0.000392625281421,-0.0006888710245298,0.0017032331222095,11,0.7283,350,23,19a170dba701ca9af362aaf226d84bf103e88ec95fd603cf59623e566c42b070,variance
SubPCA,0.0115502781180277,-0.0034435759000136,0.0295637620441994,11,0.9265,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
POLY,0.0007893345278004,-0.0027250406764316,0.0035827277717018,17,0.7031,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
MOMENT_FT,5.318274531007014e-05,-0.0008975874071572,0.0008884981862693,14,0.5499,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
MOMENT_ZS,-4.498839307371382e-05,-0.0004724908189446,0.0003541743818041,13,0.4204,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
M2N2,0.0116281404042238,-0.000878729720293,0.0253435800788625,13,0.9631,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
TranAD,0.0033660516935364,-0.0040905479052098,0.011289332544985,11,0.7991,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
TimesNet,-0.0003675000817298,-0.0011916945113596,0.0001189711823662,15,0.1939,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
FITS,-0.0003815344784052,-0.0024944906735691,0.0011779594944214,16,0.3774,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
AnomalyTransformer,0.0003816317704541,-0.0007508255557785,0.0017339757374295,11,0.7144,350,23,e703e68e0c92874469de968f42d01f12f25fad01aa7517deaa72fdf8a84c6a70,range
SubPCA,0.0109341886041152,-0.0037645848928473,0.0287308225519161,11,0.9144,350,23,4119b2f01222e6c67b3f7284708ca0cfa29d595311e7e808ee47e7bfa20b38ee,next_difference
POLY,0.0006890582518008,-0.0022275127256479,0.0030575865803768,16,0.7039,350,23,4119b2f01222e6c67b3f7284708ca0cfa29d595311e7e808ee47e7bfa20b38ee,next_difference
