probe,detector,detector_utility,CDU
linear,SubPCA,0.017646483411484195,0.011261031579117958
linear,POLY,0.0040148863459496115,0.0006515905808137123
linear,MOMENT_FT,0.00042962162972689025,-2.2163715785105457e-05
linear,MOMENT_ZS,0.00010100313721838349,-7.753124357431492e-05
linear,M2N2,0.016741926173346605,0.010953000900133602
linear,TranAD,0.004673421214210227,0.002762057644994892
linear,TimesNet,-0.0007621237196655036,-0.000343323559860783
linear,FITS,-6.203230496601962e-05,-0.0004159889028141393
linear,AnomalyTransformer,0.0003415125445256299,0.00047161688435702333
spline,SubPCA,0.04059639454634757,0.015086930672467753
spline,POLY,0.026996525416668735,0.00603993153935573
spline,MOMENT_FT,0.019070576378165106,0.0009898828654713995
spline,MOMENT_ZS,0.01831622392665105,0.00010810150555579478
spline,M2N2,0.030898191873789754,0.012721628543885987
spline,TranAD,0.01437961423735318,0.004844765645209142
spline,TimesNet,0.005905905363100536,0.0013265052762510285
spline,FITS,0.005983030769533005,0.0010912805899424413
spline,AnomalyTransformer,-5.4527002081284616e-05,0.000148456935141099
hgb,SubPCA,0.04085887876941847,0.014862666474870915
hgb,POLY,0.025387456795297615,0.003138841187598486
hgb,MOMENT_FT,0.019266205854585116,0.0010449353741408015
hgb,MOMENT_ZS,0.018475646733618324,0.00030391621999352225
hgb,M2N2,0.03233749756827048,0.008337471486479588
hgb,TranAD,0.014587374466683081,0.004286418497647738
hgb,TimesNet,0.005012709006377625,0.001080493880052727
hgb,FITS,0.005070919492833612,0.0014211249635481468
hgb,AnomalyTransformer,-0.0022499466304925293,0.0014264510791334789
