control,test_source,n_series,source_exclusion,paired_rows,shared_baseline,finite_loss,fixed_C
duplicate_Var-96,CATSv2,1,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,Daphnet,1,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,Exathlon,30,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,IOPS,15,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,LTDB,8,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,MGAB,8,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,MITDB,7,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,MSL,7,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,NAB,23,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,NEK,8,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,OPPORTUNITY,27,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,Power,1,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,SED,2,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,SMAP,17,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,SMD,33,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,SVDB,18,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,SWaT,1,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,Stock,8,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,TAO,2,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,TODS,13,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,UCR,70,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,WSD,20,PASS,PASS,PASS,PASS,0.1
duplicate_Var-96,YAHOO,30,PASS,PASS,PASS,PASS,0.1
independent_noise,CATSv2,1,PASS,PASS,PASS,PASS,0.1
independent_noise,Daphnet,1,PASS,PASS,PASS,PASS,0.1
independent_noise,Exathlon,30,PASS,PASS,PASS,PASS,0.1
independent_noise,IOPS,15,PASS,PASS,PASS,PASS,0.1
independent_noise,LTDB,8,PASS,PASS,PASS,PASS,0.1
independent_noise,MGAB,8,PASS,PASS,PASS,PASS,0.1
independent_noise,MITDB,7,PASS,PASS,PASS,PASS,0.1
independent_noise,MSL,7,PASS,PASS,PASS,PASS,0.1
independent_noise,NAB,23,PASS,PASS,PASS,PASS,0.1
independent_noise,NEK,8,PASS,PASS,PASS,PASS,0.1
independent_noise,OPPORTUNITY,27,PASS,PASS,PASS,PASS,0.1
independent_noise,Power,1,PASS,PASS,PASS,PASS,0.1
independent_noise,SED,2,PASS,PASS,PASS,PASS,0.1
independent_noise,SMAP,17,PASS,PASS,PASS,PASS,0.1
independent_noise,SMD,33,PASS,PASS,PASS,PASS,0.1
independent_noise,SVDB,18,PASS,PASS,PASS,PASS,0.1
independent_noise,SWaT,1,PASS,PASS,PASS,PASS,0.1
independent_noise,Stock,8,PASS,PASS,PASS,PASS,0.1
independent_noise,TAO,2,PASS,PASS,PASS,PASS,0.1
independent_noise,TODS,13,PASS,PASS,PASS,PASS,0.1
independent_noise,UCR,70,PASS,PASS,PASS,PASS,0.1
independent_noise,WSD,20,PASS,PASS,PASS,PASS,0.1
independent_noise,YAHOO,30,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,CATSv2,1,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,Daphnet,1,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,Exathlon,30,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,IOPS,15,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,LTDB,8,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,MGAB,8,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,MITDB,7,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,MSL,7,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,NAB,23,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,NEK,8,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,OPPORTUNITY,27,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,Power,1,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,SED,2,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,SMAP,17,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,SMD,33,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,SVDB,18,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,SWaT,1,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,Stock,8,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,TAO,2,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,TODS,13,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,UCR,70,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,WSD,20,PASS,PASS,PASS,PASS,0.1
complementary_alpha_2,YAHOO,30,PASS,PASS,PASS,PASS,0.1
