source_dataset,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,control
CATSv2,0.2858020924202719,0.297887201276486,0.2771734742135651,0.2979017384827496,-0.0120851088562141,0.0086286182067067,-1.4537206263653957e-05,duplicate_Var-96
Daphnet,0.3254223915528967,0.2368700903937531,0.2934818404041698,0.236870694567184,0.0885523011591436,0.0319405511487269,-6.041734309514268e-07,duplicate_Var-96
Exathlon,0.5235995378389589,0.43366213844939877,0.47828710221059456,0.4336452823356105,0.08993739938956005,0.045312435628364275,1.6856113788266125e-05,duplicate_Var-96
IOPS,0.15479102249458004,0.14680233978912313,0.14803610824961952,0.14680211964758072,0.007988682705456907,0.00675491424496044,2.201415423656409e-07,duplicate_Var-96
LTDB,0.8720556920927158,0.8277857431274924,0.8600123741498119,0.827804092987185,0.04426994896522349,0.012043317942903923,-1.8349859692651238e-05,duplicate_Var-96
MGAB,0.10379637692907713,0.09814965849320105,0.1043076261111043,0.09814931718823729,0.005646718435876013,-0.0005112491820271625,3.413049637131932e-07,duplicate_Var-96
MITDB,0.2799692305476572,0.28074051205083167,0.2831248262741774,0.28073802339672493,-0.0007712815031744574,-0.0031555957265202,2.4886541066804213e-06,duplicate_Var-96
MSL,0.35306260934966177,0.32341904528105864,0.32681152662166485,0.3234157548248193,0.02964356406860314,0.02625108272799687,3.2904562392854775e-06,duplicate_Var-96
NAB,0.5109301265016868,0.49567876044141895,0.49194495029224233,0.4956789797877936,0.015251366060267817,0.018985176209444402,-2.1934637466744872e-07,duplicate_Var-96
NEK,0.4180551094165658,0.34893343626830126,0.3780061285500025,0.34893832458922247,0.06912167314826453,0.04004898086656328,-4.888320921277167e-06,duplicate_Var-96
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.3932843270362869,0.47356444275424525,-0.12398936396620222,-0.04370130843861458,7.939809629264882e-06,duplicate_Var-96
Power,0.4286798769583611,0.5020106680322937,0.4490817741823599,0.5020084107933404,-0.0733307910739325,-0.0204018972239988,2.2572389533070947e-06,duplicate_Var-96
SED,0.25885176897902645,0.33325228185899936,0.3020924922413164,0.3332524452542045,-0.0744005128799729,-0.04324072326228995,-1.6339520514385697e-07,duplicate_Var-96
SMAP,0.21089900810982376,0.18744917856369883,0.20224424673067823,0.18744917919709736,0.02344982954612493,0.008654761379145493,-6.333985811337427e-10,duplicate_Var-96
SMD,0.18012864641461732,0.15902704174505083,0.16849914234877997,0.15902918377836034,0.021101604669566423,0.011629504065837288,-2.142033309530229e-06,duplicate_Var-96
SVDB,0.24134051440331417,0.21203335442809823,0.22936737521542452,0.21203297368106325,0.02930715997521592,0.011973139187889588,3.8074703492972804e-07,duplicate_Var-96
SWaT,0.5695013226659786,0.8095299149614791,0.6667040346753086,0.8094992345731785,-0.2400285922955004,-0.0972027120093299,3.068038830056352e-05,duplicate_Var-96
Stock,0.417131156077293,0.3639863006648232,0.4137562998711582,0.36398592885734105,0.053144855412469785,0.003374856206134775,3.718074821183748e-07,duplicate_Var-96
TAO,0.5535625392673225,0.5136042109103988,0.5477415714738694,0.5135325102576053,0.0399583283569237,0.00582096779345305,7.170065279346605e-05,duplicate_Var-96
TODS,0.34089188089259115,0.3494683816078803,0.35581491737755816,0.3494655273598275,-0.008576500715289138,-0.014923036484967046,2.8542480528013744e-06,duplicate_Var-96
UCR,0.11965481163837996,0.12118827879405407,0.11991215575114558,0.12118817368685189,-0.0015334671556741313,-0.0002573441127656659,1.0510720214046418e-07,duplicate_Var-96
WSD,0.11652476930139795,0.11569967076211748,0.11328397862618829,0.11569240698055652,0.00082509853928046,0.0032407906752096095,7.263781560942067e-06,duplicate_Var-96
YAHOO,0.1357516306585992,0.13053893441590425,0.13464572722048154,0.13053872132418357,0.005212696242694886,0.0011059034381176128,2.1309172066515565e-07,duplicate_Var-96
CATSv2,0.2858020924202719,0.297887201276486,0.2858039310571921,0.2978921791357221,-0.0120851088562141,-1.83863692021502e-06,-4.9778592361438e-06,independent_noise
Daphnet,0.3254223915528967,0.2368700903937531,0.3254224108634169,0.2368699319781393,0.0885523011591436,-1.931052023840252e-08,1.5841561379348337e-07,independent_noise
Exathlon,0.5235995378389589,0.43366213844939877,0.5235977179815492,0.4336362311740559,0.08993739938956005,1.8198574097109492e-06,2.5907275342840207e-05,independent_noise
IOPS,0.15479102249458004,0.14680233978912313,0.15479423666830172,0.14680330776787232,0.007988682705456907,-3.2141737217291263e-06,-9.679787492546573e-07,independent_noise
LTDB,0.8720556920927158,0.8277857431274924,0.872049450493211,0.8277919741651237,0.04426994896522349,6.241599504824835e-06,-6.2310376313795546e-06,independent_noise
MGAB,0.10379637692907713,0.09814965849320105,0.10379890837623132,0.098140001874104,0.005646718435876013,-2.5314471542633304e-06,9.656619096997873e-06,independent_noise
MITDB,0.2799692305476572,0.28074051205083167,0.2799708404594751,0.280739812301481,-0.0007712815031744574,-1.6099118179600604e-06,6.99749350641892e-07,independent_noise
MSL,0.35306260934966177,0.32341904528105864,0.35306339612658516,0.32340861238555607,0.02964356406860314,-7.867769234686557e-07,1.0432895502533932e-05,independent_noise
NAB,0.5109301265016868,0.49567876044141895,0.5109398130598928,0.4956931564464529,0.015251366060267817,-9.686558205966046e-06,-1.4396005033942163e-05,independent_noise
NEK,0.4180551094165658,0.34893343626830126,0.4180454777703023,0.3489223040067662,0.06912167314826453,9.631646263517923e-06,1.1132261535019838e-05,independent_noise
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.3495877321238217,0.4735605353254614,-0.12398936396620222,-4.7135261494067754e-06,1.1847238413160628e-05,independent_noise
Power,0.4286798769583611,0.5020106680322937,0.4286703834973857,0.5019975584474117,-0.0733307910739325,9.49346097539605e-06,1.3109584881987324e-05,independent_noise
SED,0.25885176897902645,0.33325228185899936,0.25885233952062336,0.33325521110329454,-0.0744005128799729,-5.705415969670113e-07,-2.9292442952077993e-06,independent_noise
SMAP,0.21089900810982376,0.18744917856369883,0.21090026314828753,0.18744979166044146,0.02344982954612493,-1.255038463800615e-06,-6.130967426569845e-07,independent_noise
SMD,0.18012864641461732,0.15902704174505083,0.1801320335761226,0.15902919284592731,0.021101604669566423,-3.3871615053111266e-06,-2.1511008765212614e-06,independent_noise
SVDB,0.24134051440331417,0.21203335442809823,0.24134230435211487,0.2120327808748075,0.02930715997521592,-1.7899488007121057e-06,5.735532906801015e-07,independent_noise
SWaT,0.5695013226659786,0.8095299149614791,0.5694977245082262,0.809488290121241,-0.2400285922955004,3.598157752415787e-06,4.162484023806368e-05,independent_noise
Stock,0.417131156077293,0.3639863006648232,0.41712888982837265,0.363983126584727,0.053144855412469785,2.266248920343439e-06,3.174080096184778e-06,independent_noise
TAO,0.5535625392673225,0.5136042109103988,0.5535563636830607,0.5135308277799232,0.0399583283569237,6.175584261691735e-06,7.338313047555722e-05,independent_noise
TODS,0.34089188089259115,0.3494683816078803,0.3408898859546022,0.34946657654242474,-0.008576500715289138,1.994937988948086e-06,1.8050654555170973e-06,independent_noise
UCR,0.11965481163837996,0.12118827879405407,0.11965700960112086,0.12118722732399506,-0.0015334671556741313,-2.1979627409490775e-06,1.0514700589611285e-06,independent_noise
WSD,0.11652476930139795,0.11569967076211748,0.11652773662329279,0.115693970981474,0.00082509853928046,-2.967321894884606e-06,5.699780643454721e-06,independent_noise
YAHOO,0.1357516306585992,0.13053893441590425,0.13575563497627752,0.13054015834538363,0.005212696242694886,-4.004317678374392e-06,-1.2239294794116895e-06,independent_noise
CATSv2,0.2858020924202719,0.297887201276486,0.1870805166644056,0.1953293557098848,-0.0120851088562141,0.0987215757558662,0.1025578455666011,complementary_alpha_2
Daphnet,0.3254223915528967,0.2368700903937531,0.2082142480585329,0.1520876006900126,0.0885523011591436,0.1172081434943638,0.0847824897037404,complementary_alpha_2
Exathlon,0.5235995378389589,0.43366213844939877,0.33344328461947437,0.2797313467737098,0.08993739938956005,0.19015625321948448,0.15393079167568896,complementary_alpha_2
IOPS,0.15479102249458004,0.14680233978912313,0.1305228844334422,0.12223116369073397,0.007988682705456907,0.024268138061137767,0.02457117609838907,complementary_alpha_2
LTDB,0.8720556920927158,0.8277857431274924,0.6474770508021213,0.6170920096044396,0.04426994896522349,0.22457864129059468,0.2106937335230528,complementary_alpha_2
MGAB,0.10379637692907713,0.09814965849320105,0.11055525554345562,0.10349223138177939,0.005646718435876013,-0.0067588786143784755,-0.005342572888578338,complementary_alpha_2
MITDB,0.2799692305476572,0.28074051205083167,0.18770338673714285,0.18766953482745535,-0.0007712815031744574,0.09226584381051431,0.09307097722337622,complementary_alpha_2
MSL,0.35306260934966177,0.32341904528105864,0.23235672256959147,0.21630494850957982,0.02964356406860314,0.12070588678007023,0.10711409677147872,complementary_alpha_2
NAB,0.5109301265016868,0.49567876044141895,0.3254953458337056,0.3181423005957848,0.015251366060267817,0.18543478066798116,0.1775364598456341,complementary_alpha_2
NEK,0.4180551094165658,0.34893343626830126,0.27104958653595623,0.23020443746463853,0.06912167314826453,0.1470055228806095,0.11872899880366262,complementary_alpha_2
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.23160154113815826,0.31839605385137987,-0.12398936396620222,0.11798147745951401,0.15517632871249465,complementary_alpha_2
Power,0.4286798769583611,0.5020106680322937,0.266439967295926,0.3183004027500101,-0.0733307910739325,0.162239909662435,0.1837102652822835,complementary_alpha_2
SED,0.25885176897902645,0.33325228185899936,0.17731150407741414,0.2283817117954309,-0.0744005128799729,0.0815402649016122,0.1048705700635684,complementary_alpha_2
SMAP,0.21089900810982376,0.18744917856369883,0.15869048879029868,0.1411803708158658,0.02344982954612493,0.05220851931952501,0.04626880774783295,complementary_alpha_2
SMD,0.18012864641461732,0.15902704174505083,0.14388863174852914,0.12759659720933705,0.021101604669566423,0.036240014666088095,0.03143044453571371,complementary_alpha_2
