source_dataset,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,Raw_VUS,detector
CATSv2,0.2858020924202719,0.297887201276486,0.2740124715238715,0.3004731094809714,-0.0120851088562141,0.0117896208964003,-0.0025859082044854,0.2646542155110704,SubPCA
Daphnet,0.3254223915528967,0.2368700903937531,0.2826652579933947,0.2376746395228587,0.0885523011591436,0.0427571335595019,-0.0008045491291056,0.4218448144556889,SubPCA
Exathlon,0.5235995378389589,0.43366213844939877,0.3989345601793751,0.3685748691546681,0.08993739938956005,0.1246649776595837,0.06508726929473065,0.9266493451457086,SubPCA
IOPS,0.15479102249458004,0.14680233978912313,0.1430669058719303,0.14553708044770897,0.007988682705456907,0.011724116622649699,0.0012652593414140866,0.22813765875127293,SubPCA
LTDB,0.8720556920927158,0.8277857431274924,0.8555504349839882,0.8362567622186582,0.04426994896522349,0.01650525710872766,-0.008471019091165738,0.5558455224986625,SubPCA
MGAB,0.10379637692907713,0.09814965849320105,0.10624476973235983,0.09524140577065163,0.005646718435876013,-0.002448392803282675,0.0029082527225493503,0.005165410680142575,SubPCA
MITDB,0.2799692305476572,0.28074051205083167,0.2775474718321281,0.28257995102609257,-0.0007712815031744574,0.0024217587155290787,-0.0018394389752609279,0.3101156605114338,SubPCA
MSL,0.35306260934966177,0.32341904528105864,0.32813192293690097,0.32766444375808873,0.02964356406860314,0.024930686412760784,-0.004245398477030142,0.5082326486552547,SubPCA
NAB,0.5109301265016868,0.49567876044141895,0.4951059171800822,0.5125002939371567,0.015251366060267817,0.015824209321604565,-0.016821533495737794,0.4357590787159587,SubPCA
NEK,0.4180551094165658,0.34893343626830126,0.3182241023863128,0.30607046176926067,0.06912167314826453,0.09983100703025294,0.042862974499040515,0.9048963693271731,SubPCA
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.272165073860899,0.3743161692000723,-0.12398936396620222,0.07741794473677327,0.09925621336380218,0.913929696566977,SubPCA
Power,0.4286798769583611,0.5020106680322937,0.4778203661779396,0.5277988406949302,-0.0733307910739325,-0.0491404892195785,-0.0257881726626365,0.0760642888324738,SubPCA
SED,0.25885176897902645,0.33325228185899936,0.3644108722189019,0.38676592830684486,-0.0744005128799729,-0.10555910323987545,-0.05351364644784555,0.0313843012605222,SubPCA
SMAP,0.21089900810982376,0.18744917856369883,0.18323075018259802,0.17715012421856646,0.02344982954612493,0.027668257927225718,0.010299054345132334,0.5178727067470327,SubPCA
SMD,0.18012864641461732,0.15902704174505083,0.16061167527363746,0.15059666732768143,0.021101604669566423,0.019516971140979788,0.008430374417369357,0.4485670466557737,SubPCA
SVDB,0.24134051440331417,0.21203335442809823,0.21350267267302228,0.20617720555371058,0.02930715997521592,0.027837841730291833,0.005856148874387606,0.5221922909673264,SubPCA
SWaT,0.5695013226659786,0.8095299149614791,0.479753968853546,0.6636497154916545,-0.2400285922955004,0.0897473538124326,0.1458801994698245,0.3929666699458893,SubPCA
Stock,0.417131156077293,0.3639863006648232,0.4211864600011588,0.36259910407534424,0.053144855412469785,-0.004055303923865762,0.001387196589478949,0.8411803724594095,SubPCA
TAO,0.5535625392673225,0.5136042109103988,0.5668218558292145,0.5151188600083074,0.0399583283569237,-0.01325931656189205,-0.0015146490979087498,0.9299374524641595,SubPCA
TODS,0.34089188089259115,0.3494683816078803,0.36072006127927053,0.3602982290806916,-0.008576500715289138,-0.019828180386679415,-0.010829847472811346,0.5394235785921555,SubPCA
UCR,0.11965481163837996,0.12118827879405407,0.12247662722494217,0.12628698404829752,-0.0015334671556741313,-0.0028218155865622325,-0.005098705254243447,0.12372540712145995,SubPCA
WSD,0.11652476930139795,0.11569967076211748,0.11517837374598598,0.11232943621895272,0.00082509853928046,0.00134639555541192,0.00337023454316471,0.09425132140037376,SubPCA
YAHOO,0.1357516306585992,0.13053893441590425,0.12749791435957097,0.12751403038540235,0.005212696242694886,0.008253716299028201,0.0030249040305018867,0.1365560949549144,SubPCA
CATSv2,0.2858020924202719,0.297887201276486,0.2728558962533673,0.2958612548084167,-0.0120851088562141,0.0129461961669045,0.0020259464680693,0.2314670997936085,POLY
Daphnet,0.3254223915528967,0.2368700903937531,0.2828901138133141,0.2333912128024166,0.0885523011591436,0.0425322777395825,0.0034788775913364,0.5079959670962401,POLY
Exathlon,0.5235995378389589,0.43366213844939877,0.4601408042135249,0.42650826235047495,0.08993739938956005,0.06345873362543394,0.00715387609892378,0.7424364036063696,POLY
IOPS,0.15479102249458004,0.14680233978912313,0.1472895682080915,0.14600828675156574,0.007988682705456907,0.007501454286488466,0.000794053037557329,0.3102252422503273,POLY
LTDB,0.8720556920927158,0.8277857431274924,0.8604113965735943,0.829943520877494,0.04426994896522349,0.0116442955191216,-0.0021577777500016004,0.5115459717549786,POLY
