,linear/POLY-MOMENT_FT,linear/POLY-MOMENT_ZS,linear/MOMENT_FT-MOMENT_ZS,spline/POLY-MOMENT_FT,spline/POLY-MOMENT_ZS,spline/MOMENT_FT-MOMENT_ZS,hgb/POLY-MOMENT_FT,hgb/POLY-MOMENT_ZS,hgb/MOMENT_FT-MOMENT_ZS
CATSv2,0.0009027243397319001,0.0017477484734090003,0.0008450241336771001,-0.0014499319874209,0.000838025598602,0.0022879575860229,0.0023533895704547997,0.0041726575104117,0.0018192679399569
Daphnet,0.002364762395053,0.0030964562678738,0.0007316938728208001,-0.0068917142255439,-0.0076277228972607995,-0.0007360086717169001,-0.0022025407824214,-0.0022475684389807998,-4.502765655939995e-05
Exathlon,0.0040569057726789,0.0057990131644272,0.0017421073917483,0.0025210984599012,0.0058898536757299004,0.0033687552158287006,0.0056595722627778,0.0046786765867992,-0.0009808956759786
IOPS,0.0003212234151031,0.0005470369273777,0.0002258135122746,4.824623594640006e-05,0.0009642762033594001,0.000916029967413,0.0037558028958884,0.0034475688952991003,-0.0003082340005893
LTDB,-0.0017990460941367998,-0.0011547897957280998,0.0006442562984087,0.02550521174463,0.0262505906961014,0.0007453789514714,0.0120875415644064,0.0146523571592267,0.0025648155948203
MGAB,0.0054501310029223,0.001448310055091256,-0.004001820947831044,-0.0018639464626656,-0.0009454613391727001,0.0009184851234929001,0.00023104952790940032,0.001794379578754,0.0015633300508445997
MITDB,0.002837647679259,0.0034288645830727,0.0005912169038137,0.007788261560031999,0.009456358524761,0.001668096964729,0.0048266649792286995,0.0065616840509531,0.0017350190717244003
MSL,0.0057311282867765,0.006262540237462701,0.0005314119506862,0.017443729024069498,0.017941259053898997,0.0004975300298295003,0.017856030794010803,0.017095264435541203,-0.0007607663584696003
NAB,0.0062620077213434,0.0069890827445925,0.0007270750232491,-0.0024469150855049,-0.0011048828801827999,0.0013420322053221,-0.0010315792354028,0.0012536734990486,0.0022852527344514
NEK,-0.0021316242751844,-0.0010325176036566001,0.0010991066715277998,0.0090560045857686,0.0108294832955701,0.0017734787098015,-0.0055636102976113,-0.0080298002252066,-0.0024661899275952998
OPPORTUNITY,0.0017384868242902999,0.0005338512311510002,-0.0012046355931392997,-0.0114304305036858,-0.0127468681761279,-0.0013164376724421,-0.0280846614927316,-0.028970384239620398,-0.0008857227468888001
Power,-0.0045417056208973,-0.0063717371275732,-0.0018300315066758998,0.015432627594703999,0.012377953321049899,-0.0030546742736541,0.0066214857090375005,0.0051715698340983,-0.0014499158749392
SED,0.0024499246609444997,-0.0016606708967411002,-0.0041105955576856,0.006866718789712199,0.0059982404223226995,-0.0008684783673895001,0.0026163511145153996,0.0089153851735774,0.006299034059062
SMAP,0.0036070237262569,0.004274847817114701,0.0006678240908577998,0.0036740171636787007,0.0054818556348247005,0.0018078384711459998,0.0126190807294379,0.011714879469995899,-0.000904201259442
SMD,0.0015466009485849,0.0016456634585932,9.906251000829996e-05,0.0080349330302203,0.0083389292745227,0.0003039962443024,0.0113955127602801,0.014093783110525,0.0026982703502449
SVDB,0.0006666473799928998,0.0018310345231656998,0.0011643871431728,0.006153101805638501,0.0081863421087519,0.0020332403031134002,0.0034206331159139,0.0054377180634192,0.0020170849475053
SWaT,-0.0227866598109162,-0.020575771519140102,0.0022108882917761,0.019084665014976,0.024180798980751202,0.0050961339657752,0.0053349951275191015,0.0148893682264745,0.009554373098955399
Stock,0.0010529225943202776,0.0017527485634448998,0.0006998259691246224,-0.0004619514140947001,0.00036320465693869984,0.0008251560710333999,-0.011901660150639499,-0.0172194007187765,-0.005317740568137
TAO,-0.0029068448153529,-0.0015377999458052,0.0013690448695477,-0.0017168000201177999,0.00033602956284090003,0.0020528295829587,-0.0017586100057643012,-0.004969706771586001,-0.0032110967658216995
TODS,0.0081533521007976,0.0070407488532633995,-0.0011126032475342,0.0085419937014494,0.0080993059252631,-0.0004426877761863,-0.0005519410091946,0.0010517482358454,0.00160368924504
UCR,6.735284576253909e-05,9.214655945215746e-05,2.479371368961838e-05,-0.00024663181293606864,0.00021049291832020005,0.0004571247312562687,-0.0011832159564466,-0.0005998978568685126,0.0005833180995780874
WSD,0.0026284589226654997,0.0027528581418550997,0.0001243992191896,0.0106335622248496,0.0110528098476335,0.0004192476227839,0.0143488644658432,0.015258785057399901,0.0009099205915566999
YAHOO,-0.00017507117822310002,-0.00013986275177800002,3.520842644509998e-05,0.0018752700757326,0.0020612163688997,0.00018594629316709996,-0.0026893219774841003,-0.0029494663814167003,-0.00026014440393260006
