probe,condition,sources,status
logistic,duplicate_Var-96,23,COMPLETE_VALIDATED
logistic,independent_noise,23,COMPLETE_VALIDATED
logistic,complementary_alpha_2,23,COMPLETE_VALIDATED
logistic,SubPCA,23,COMPLETE_VALIDATED
logistic,POLY,23,COMPLETE_VALIDATED
logistic,MOMENT_FT,23,COMPLETE_VALIDATED
logistic,MOMENT_ZS,23,COMPLETE_VALIDATED
logistic,M2N2,23,COMPLETE_VALIDATED
logistic,TranAD,23,COMPLETE_VALIDATED
logistic,TimesNet,23,COMPLETE_VALIDATED
logistic,FITS,23,COMPLETE_VALIDATED
logistic,AnomalyTransformer,23,COMPLETE_VALIDATED
hgb,duplicate_Var-96,23,COMPLETE_VALIDATED
hgb,independent_noise,23,COMPLETE_VALIDATED
hgb,complementary_alpha_2,23,COMPLETE_VALIDATED
hgb,SubPCA,23,COMPLETE_VALIDATED
hgb,POLY,23,COMPLETE_VALIDATED
hgb,MOMENT_FT,23,COMPLETE_VALIDATED
hgb,MOMENT_ZS,23,COMPLETE_VALIDATED
hgb,M2N2,23,COMPLETE_VALIDATED
hgb,TranAD,23,COMPLETE_VALIDATED
hgb,TimesNet,23,COMPLETE_VALIDATED
hgb,FITS,23,COMPLETE_VALIDATED
hgb,AnomalyTransformer,23,COMPLETE_VALIDATED
