detector,probe,CDU,CDU_CI_low,CDU_CI_high,positive_sources,bootstrap_prob_source_macro_positive,n_series,n_sources,signature,warning_folds,training_cap
SubPCA,logistic,0.0112941590994634,-0.0041113741088739,0.02942576081884,12,0.9131,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
POLY,logistic,0.0006410456363822,-0.002177168185179,0.002907155960517,15,0.6996,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
MOMENT_FT,logistic,-3.10573024207438e-05,-0.0010164774570989,0.0007887811729544,15,0.4881,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
MOMENT_ZS,logistic,-4.008704192614125e-05,-0.0005736089398302,0.0004375859576144,14,0.4431,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
M2N2,logistic,0.011020203346875,-0.0016642513717104,0.0249060431053969,12,0.9492,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
TranAD,logistic,0.0026863236924011,-0.0049912092831213,0.0106579037896683,10,0.7417,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
TimesNet,logistic,-0.0003682600993634,-0.001134913942383,7.555756626536191e-05,15,0.1519,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
FITS,logistic,-0.0003417249463294,-0.002340262100848,0.0011087426361129,16,0.3873,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
AnomalyTransformer,logistic,0.0004864335737969,-0.0006931063759332,0.0019336676172968,11,0.7549,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
SubPCA,hgb,0.0154506661097208,0.0035756446016973,0.0294676293128657,14,0.996,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
POLY,hgb,0.0030766585038195,-0.0009332249760449,0.0068468968186436,15,0.9371,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
MOMENT_FT,hgb,3.435932317233918e-05,-0.0014874051053828,0.0013333673123256,13,0.5401,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
MOMENT_ZS,hgb,-0.0001259698540636,-0.0012123594846519,0.0007731635629953,13,0.4256,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
M2N2,hgb,0.0081644044921891,0.0010110397380038,0.0157119212796997,13,0.9877,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
TranAD,hgb,0.0024077151031241,-0.0022973696470372,0.0072395723554185,11,0.8262,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
TimesNet,hgb,0.0012076437216338,-0.0008057692504711,0.0035782592198997,13,0.8688,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
FITS,hgb,0.0019722918312872,0.0003919527061437,0.0035836381626789,15,0.9943,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
AnomalyTransformer,hgb,0.0016851900121818,-0.0019761977218447,0.0058979875337633,12,0.7954,350,23,20e4e3cb644bf507ded552dbd794a87ad184bb1935e04ead2862267393fab786,0,2048
