probe,condition,series,sources,baseline_identical,formula_verified,summary_verified
linear,duplicate_Var96,350,23,True,True,True
linear,independent_noise,350,23,True,True,True
linear,complementary_alpha2,350,23,True,True,True
linear,SubPCA,350,23,True,True,True
linear,POLY,350,23,True,True,True
linear,MOMENT_FT,350,23,True,True,True
linear,MOMENT_ZS,350,23,True,True,True
linear,M2N2,350,23,True,True,True
linear,TranAD,350,23,True,True,True
linear,TimesNet,350,23,True,True,True
linear,FITS,350,23,True,True,True
linear,AnomalyTransformer,350,23,True,True,True
spline,duplicate_Var96,350,23,True,True,True
spline,independent_noise,350,23,True,True,True
spline,complementary_alpha2,350,23,True,True,True
spline,SubPCA,350,23,True,True,True
spline,POLY,350,23,True,True,True
spline,MOMENT_FT,350,23,True,True,True
spline,MOMENT_ZS,350,23,True,True,True
spline,M2N2,350,23,True,True,True
spline,TranAD,350,23,True,True,True
spline,TimesNet,350,23,True,True,True
spline,FITS,350,23,True,True,True
spline,AnomalyTransformer,350,23,True,True,True
hgb,duplicate_Var96,350,23,True,True,True
hgb,independent_noise,350,23,True,True,True
hgb,complementary_alpha2,350,23,True,True,True
hgb,SubPCA,350,23,True,True,True
hgb,POLY,350,23,True,True,True
hgb,MOMENT_FT,350,23,True,True,True
hgb,MOMENT_ZS,350,23,True,True,True
hgb,M2N2,350,23,True,True,True
hgb,TranAD,350,23,True,True,True
hgb,TimesNet,350,23,True,True,True
hgb,FITS,350,23,True,True,True
hgb,AnomalyTransformer,350,23,True,True,True
