probe,detector,CDU,CI_low,CI_high,positive_sources,bootstrap_prob_macro_positive,CI_covers_zero,source
linear,SubPCA,0.011261031579117958,-0.004239205543270845,0.029645620803248944,12,0.9106,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\SubPCA\PER_SERIES.csv
linear,POLY,0.0006515905808137123,-0.002177550408070015,0.002938633839809844,16,0.7014,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\POLY\PER_SERIES.csv
linear,MOMENT_FT,-2.2163715785105457e-05,-0.0010567001161248932,0.0008544892034234138,14,0.4919,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\MOMENT_FT\PER_SERIES.csv
linear,MOMENT_ZS,-7.753124357431492e-05,-0.0006129388089406902,0.0003941450303989719,14,0.388,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\MOMENT_ZS\PER_SERIES.csv
linear,M2N2,0.010953000900133602,-0.0016668447660528997,0.02474580826747887,12,0.9491,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\M2N2\PER_SERIES.csv
linear,TranAD,0.002762057644994892,-0.005024602087540293,0.010920435912723257,10,0.7418,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\TranAD\PER_SERIES.csv
linear,TimesNet,-0.000343323559860783,-0.0010292738818251787,5.5218726451935545e-05,16,0.1215,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\TimesNet\PER_SERIES.csv
linear,FITS,-0.0004159889028141393,-0.002099509554515705,0.0007123729116334508,17,0.3189,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\FITS\PER_SERIES.csv
linear,AnomalyTransformer,0.00047161688435702333,-0.0004966676288965184,0.0016382620892598553,11,0.8063,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\linear\AnomalyTransformer\PER_SERIES.csv
spline,SubPCA,0.015086930672467753,0.002562782782097035,0.029642010652711815,15,0.9932,False,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\SubPCA\PER_SERIES.csv
spline,POLY,0.00603993153935573,0.0024586997433203458,0.009688154326780954,16,0.9997,False,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\POLY\PER_SERIES.csv
spline,MOMENT_FT,0.0009898828654713995,-7.999512314045285e-06,0.002077490433391787,13,0.9742,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\MOMENT_FT\PER_SERIES.csv
spline,MOMENT_ZS,0.00010810150555579478,-0.0008775989166700777,0.001126016714527843,7,0.5748,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\MOMENT_ZS\PER_SERIES.csv
spline,M2N2,0.012721628543885987,0.0007538424078841506,0.02614389367743455,13,0.9821,False,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\M2N2\PER_SERIES.csv
spline,TranAD,0.004844765645209142,-0.0016211225481823771,0.012630593434393739,10,0.9168,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\TranAD\PER_SERIES.csv
spline,TimesNet,0.0013265052762510285,-0.00015240387563067383,0.0029958282776010154,12,0.96,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\TimesNet\PER_SERIES.csv
spline,FITS,0.0010912805899424413,-7.562055593519446e-05,0.0022137069481779456,15,0.9676,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\FITS\PER_SERIES.csv
spline,AnomalyTransformer,0.000148456935141099,-0.0012912351716404698,0.0016660043970680109,11,0.5739,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\spline\AnomalyTransformer\PER_SERIES.csv
hgb,SubPCA,0.014862666474870915,0.0028545780915337216,0.029223489135201185,14,0.9945,False,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\SubPCA\PER_SERIES.csv
hgb,POLY,0.003138841187598486,-0.0016719597721693439,0.0077701440484133745,16,0.9053,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\POLY\PER_SERIES.csv
hgb,MOMENT_FT,0.0010449353741408015,-0.0010383947078999015,0.003521512475821806,17,0.8341,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\MOMENT_FT\PER_SERIES.csv
hgb,MOMENT_ZS,0.00030391621999352225,-0.001222382231364642,0.001892131031514175,11,0.6575,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\MOMENT_ZS\PER_SERIES.csv
hgb,M2N2,0.008337471486479588,0.001196470322222476,0.016027024475378644,13,0.9903,False,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\M2N2\PER_SERIES.csv
hgb,TranAD,0.004286418497647738,-0.001313453096959687,0.010436825154409518,11,0.9264,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\TranAD\PER_SERIES.csv
hgb,TimesNet,0.001080493880052727,-0.0012407845457802543,0.003488172388074828,12,0.8189,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\TimesNet\PER_SERIES.csv
hgb,FITS,0.0014211249635481468,-0.00011383961487049282,0.002947834795770089,13,0.9666,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\FITS\PER_SERIES.csv
hgb,AnomalyTransformer,0.0014264510791334789,-0.0021725567763870666,0.005480088666667376,12,0.7632,True,D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\protocol_rank_probe_results\cap2048\hgb\AnomalyTransformer\PER_SERIES.csv
