detector,CDU,CDU_CI_low,CDU_CI_high,positive_sources,bootstrap_prob_source_macro_positive,n_series,n_sources,signature,experiment,variant,CDU_rank
SubPCA,0.0111792212310662,-0.0021185230052752,0.0243354519146894,15,0.95,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,2
POLY,-0.0029515479620462,-0.0128930807045066,0.0046080702948103,12,0.271,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,9
MOMENT_FT,-0.0008258481502161,-0.0072186506700982,0.0048165068225377,12,0.3924,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,7
MOMENT_ZS,-0.0021424096344453,-0.0063079903585038,0.0017546473783207,12,0.1456,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,8
M2N2,0.0180884508772509,-0.0033061944926039,0.0438891220194388,14,0.9428,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,1
TranAD,0.0023263162315623,-0.0053549367918735,0.0097807419999954,13,0.7256,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,3
TimesNet,-0.0003951333178261,-0.0011794524336781,0.0005621816189888,8,0.1913,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,6
FITS,-0.0002712496324262,-0.0018016328131927,0.0011371753840422,15,0.3667,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,5
AnomalyTransformer,-8.392705505499051e-05,-0.0006723290781851,0.0004985637370286,11,0.3868,350,23,157baf6079876c6810650d97abe3c1f9c4ba9580306a89fa0fe028803aa5e744,normalization,minmax,4
SubPCA,0.0225589689576526,0.0066927129148977,0.0403281929816866,16,0.9987,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,1
POLY,0.0083347405014563,0.0020584718483395,0.0148039652361275,15,0.997,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,3
MOMENT_FT,0.0010637047585963,-0.0103694165161062,0.0098942487089538,16,0.6056,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,5
MOMENT_ZS,-0.0011341671306992,-0.0143941235514339,0.0085888513743041,14,0.4581,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,9
M2N2,0.0150722593529042,-0.0018495322172067,0.0343747539496106,13,0.9576,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,2
TranAD,0.0025838299002392,-0.0045584209758373,0.0107035564691553,11,0.7365,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,4
TimesNet,0.000242733178049,-0.0039083604249118,0.0038805515866136,13,0.564,350,23,290776667a276be3223930e49a234b0e50ac61bdcdb1b6ba71bce1327608c731,normalization,zscore_cdf,7
