source_dataset,L_prior,L_basis,basis_utility
CATSv2,0.2858020924202719,0.3034962335522023,-0.017694141131930408
Daphnet,0.3254223915528967,0.2372814429624703,0.0881409485904264
Exathlon,0.5235995378389589,0.443783993915242,0.07981554392371694
IOPS,0.15479102249458004,0.14865474257996467,0.006136279914615387
LTDB,0.8720556920927158,0.8201486979693053,0.0519069941234105
MGAB,0.10379637692907713,0.09852303690562761,0.0052733400234495145
MITDB,0.2799692305476572,0.2793481461113832,0.0006210844362740307
MSL,0.35306260934966177,0.3312274176548734,0.02183519169478838
NAB,0.5109301265016868,0.49983297211814387,0.011097154383542905
NEK,0.4180551094165658,0.3536070752262068,0.06444803419035902
OPPORTUNITY,0.34958301859767227,0.4704414164051431,-0.12085839780747075
Power,0.4286798769583611,0.5020802914913166,-0.07340041453295554
SED,0.25885176897902645,0.33401613378160433,-0.07516436480257786
SMAP,0.21089900810982376,0.18867722147893018,0.0222217866308936
SMD,0.18012864641461732,0.16037223859683689,0.01975640781778042
SVDB,0.24134051440331417,0.21216171678075124,0.02917879762256295
SWaT,0.5695013226659786,0.8099570413341561,-0.2404557186681775
Stock,0.417131156077293,0.3616290586470591,0.05550209743023397
TAO,0.5535625392673225,0.5109091881757857,0.04265335109153681
TODS,0.34089188089259115,0.35237915977758766,-0.011487278884996541
UCR,0.11965481163837996,0.1222664133798367,-0.0026116017414567366
WSD,0.11652476930139795,0.11753036959227288,-0.0010056002908749259
YAHOO,0.1357516306585992,0.13120753598805548,0.004544094670543715
