,linear/SubPCA,linear/POLY,linear/MOMENT_FT,linear/MOMENT_ZS,linear/M2N2,linear/TranAD,linear/TimesNet,linear/FITS,linear/AnomalyTransformer,spline/SubPCA,spline/POLY,spline/MOMENT_FT,spline/MOMENT_ZS,spline/M2N2,spline/TranAD,spline/TimesNet,spline/FITS,spline/AnomalyTransformer,hgb/SubPCA,hgb/POLY,hgb/MOMENT_FT,hgb/MOMENT_ZS,hgb/M2N2,hgb/TranAD,hgb/TimesNet,hgb/FITS,hgb/AnomalyTransformer
CATSv2,-0.0031284068522196,0.0021323375242434,0.0012296131845115,0.0003845890508344,0.0049583422808134,-0.0018995054971904,0.0001745811540566,0.0014502948009904,0.0011840072574536,-0.005380579795175,0.0006284733248465,0.0020784053122674,-0.0002095522737555,0.0056288377747328,-0.002345158467949,-0.0008150697834009,0.0028282257664313,0.000105725164031,-0.0131194406824809,0.0034029267895453,0.0010495372190905,-0.0007697307208664,-0.0021867222129812,-0.0046607041212025,-0.0017028589385747,0.0021851488501919,-0.0017218071529853
Daphnet,-0.0008676353933992,0.0035328830800885,0.0011681206850355,0.0004364268122147,0.0082133599757699,-0.0153245509500322,0.0002163489640027,0.0019781167798701,0.0003583986948117,-0.0040170939447888,-0.0083376047112869,-0.001445890485743,-0.0007098818140261,-0.0070268572640201,-0.0066184279101474,-0.0028265227642675,-0.0041140667224857,-0.0006553964910894,-0.0010271819766456,-0.0012837512274064,0.000918789555015,0.0009638172115744,-0.0019025536635012,-0.0075360152431714,9.684603298537596e-05,-0.0003166134632845,-0.0086287738022671
Exathlon,0.06612280994746374,0.00711992212917263,0.0030630163564937933,0.0013209089647454,0.04311503808646311,0.030203198902877777,9.5723630886408e-05,0.0018877509994029399,0.004438869818034857,0.05756812751225008,0.0075132117014996835,0.004992113241598433,0.00162335802576971,0.03857716656119517,0.03299450411650604,0.0023811105379020134,0.005418817902135533,0.006094266512570146,0.05481732606153185,0.0037129341619589165,-0.0019466381008189932,-0.0009657424248403106,0.022012239152254705,0.024251282970738985,-0.00166877924711115,-0.00031127846384796986,-0.00754709305396564
IOPS,0.0009657613238445065,0.0007184624389339801,0.00039723902383089334,0.00017142551155629855,-0.00015153198932185997,0.003535298831539373,4.879519913805794e-06,0.0004439394769820171,-0.00011024174137608151,0.0041362930371011,0.0005916060749052867,0.0005433598389588103,-0.00037267012845425875,0.0044334092406013,0.00690459829282508,-2.8474828854621096e-05,0.0018424445375902134,0.002155297589597635,0.007509554751200812,0.002707773652274719,-0.0010480292436137266,-0.0007397952430244132,0.005637649583935413,0.007082160623467387,0.0007290620472348915,0.0013392913464204798,-0.00124059660504348
LTDB,-0.009073913883733463,-0.0022883316723443002,-0.00048928557820755,-0.0011335418766162124,-0.0392462877428862,-0.008259052200443312,0.00010360756686992761,-0.0007430207247760571,-0.0004331318860403751,0.03493167130913909,0.02510769924921256,-0.0003975124954175874,-0.001142891446888975,-0.020390602698318088,-0.0018260741288585627,-0.0034751665359231626,-0.0037726127481148126,0.007188955789944474,0.025251785511379313,0.01390667407378745,0.0018191325093810519,-0.0007456830854393875,-0.012444752047456825,-0.01455108617213475,-0.002107241831420375,-0.0017532107270090747,-0.0051887529532477
MGAB,0.0025567962660611497,0.001511036097272025,-0.003939094905650363,6.272604218074407e-05,-0.0012422501182976625,-0.001937987654449725,0.0001243883751753625,0.000289740165099325,0.00011343042580897052,-0.012599005823236987,-0.001394372006397825,0.000469574456267875,-0.000448910667225125,0.001234981162593725,-0.0011377929243126376,0.0004690947252677875,-0.0001492513569234845,-0.0014442452874778376,-0.00850642136162795,0.0024834381641726374,0.002252388636263275,0.0006890585854186,0.0014731615849261624,-0.00026947420305754757,-3.360438162909594e-06,-8.678900316435472e-05,-0.0016436717603923
MITDB,-0.001760301412809915,0.0031857590058797,0.0003481113266207539,-0.0002431055771930259,-0.010459678813817699,-0.0057544882856041,-5.727049162179424e-05,0.0003842976953032714,-0.0035048829466594214,0.009346706998400187,0.008894565568951114,0.0011063040089191714,-0.0005617929558099001,-0.007294012766402214,-0.008090490595311814,-0.0010971044634675577,0.0010112589948163143,-0.0036746627649844855,0.0072846045017747425,0.005383415771752714,0.0005567507925240144,-0.0011782682792004999,-0.006806112143972739,-0.0029080977514784737,-0.00039078512908695867,0.00018123368565731434,0.0003023102814726572
MSL,-0.0045959231224782,0.008022801117796742,0.0022916728310202286,0.0017602608803340687,-0.009658475108977957,0.004944407281093943,6.337179604921513e-05,0.0010402826539977572,0.00021750538276396869,0.010238306422962199,0.022613361961006658,0.005169632936937153,0.0046721029071076425,-8.161098477955682e-05,0.005073989073845758,0.0038085415210325,0.0027675848242252853,0.0006456572075318279,0.024796950275080644,0.020751049718455185,0.0028950189244443857,0.003655785282913914,0.017843948440792685,0.0204609275091615,0.016477779885814656,0.009515374195009972,0.015945018463265986
NAB,-0.017154437348386543,0.007167051359134048,0.0009050436377906254,0.00017796861454151064,-0.015020789787339525,-0.0010462448155293689,-0.00024388452785712553,-0.00031914377403641046,-0.0008368151093195609,-0.01103451513565891,-0.0015588012547041391,0.0008881138308008608,-0.00045391837452130377,-0.009024055221087578,-0.003932688830836831,-0.000791654371480361,-0.0023820543925786556,-0.0029407226457549914,-0.003973796026112831,0.00029491345694057495,0.0013264926923433566,-0.0009587600421081595,-0.006382850751475334,-0.001735983324231435,0.001720263865257967,-0.00010389591909171743,-0.004947915392053622
NEK,0.04349009797794816,-0.00015957568999376255,0.0019720485851907497,0.0008729419136629875,0.03981505298274531,0.027228790796699088,-0.00015681296039421247,0.0018325293356105876,-0.0008762271611614002,0.044655328160884515,0.012091935760913887,0.0030359311751452,0.001262452465343775,0.037255863453357525,0.024992449395774923,-0.0006834082288540752,0.004474916467927625,-0.0034957167347934,0.03629076495937977,-0.007021919797227063,-0.001458309499615775,0.001007880427979625,0.01746628510623699,0.023782991829053225,-0.0048851869485861624,0.0011524639000683626,0.005697044743477325
OPPORTUNITY,0.1002759250522848,-0.0017971401028115664,-0.003535626927101878,-0.0023309913339625114,0.07022103119486721,0.0356032082883753,-0.001464527343050287,-0.005790197438316656,-0.0023307206835942304,0.0835478994696086,-0.012376913039065627,-0.0009464825353798222,0.0003699551370623611,0.05202153813433363,0.033088639346466525,0.0051716284111607514,0.0029726442934639666,0.0002411420430604841,0.06582118905796552,-0.02741305131817752,0.0006716101745541515,0.0015573329214429112,0.029457971788124197,0.018153629656887712,0.010745922582643775,0.007289099993188296,-0.016450025767796354
Power,-0.0254847775654395,-0.0066759169322515,-0.0021342113113542,-0.0003041798046783,-0.0223735629000509,0.0160222022106097,-0.0001544746523725,0.0003975876479452,0.0016854216964591,-0.039055006278397,0.0111607778982826,-0.0042718496964214,-0.0012171754227673,-0.0107438309531692,-0.008977293394143,-0.0004928904290038,-0.0018744981741512,0.0027970735953394,-0.0353650011964091,0.0057105485824943,-0.0009109371265432,0.000538978748396,-0.0085917305900584,-0.0014992738321514,-0.0024809435358266,-0.0002407758154536,-0.0008858101187811
SED,-0.0543324155404036,-0.00487914660784405,-0.0073290712687885,-0.00321847571110295,-0.01771130409371425,-0.027786962614196,-0.0003462336278011,0.0015627010712493,0.00466965227902935,-0.0032614786390957,0.00988180809036145,0.0030150893006492497,0.0038835676680387,-0.01906297762648885,-0.0057423987418715,0.0099775503331126,-0.0024023594381214,0.00460813337649695,-0.0011943674666996,0.004836249487577601,0.00221989837306225,-0.00407913568599985,-0.005725792400195749,-0.00897094222998195,0.00327245379539395,-0.00344714420589205,0.0033703553410602003
SMAP,0.01054583837044514,0.005457117987881324,0.0018500942616244177,0.0011822701707666424,0.00022691778472071789,0.001966989490640541,0.00015278329083565745,0.0007551358871532635,0.0010363387921433866,0.024038716969732477,0.01186241397660844,0.008188396812929771,0.006380558341783747,0.010938319425923722,0.010506843214129223,0.009007282559654665,0.0063271530403149765,0.003869566514105463,0.02751178514595827,0.013213908805612119,0.0005948280761742329,0.001499029335616247,0.015493868232911816,0.013611905870749712,0.008785164878598808,0.00788135160966312,0.009922494246829753
SMD,0.00813523217292083,0.0018223300985350489,0.0002757291499501399,0.00017666663994181893,0.007619140439857703,0.008577741426775715,5.682549447624031e-05,0.0005164952218000915,0.001615936971860118,0.008007120021584397,0.007625658527421917,-0.0004092745027984148,-0.0007132707471008646,0.006351614540363857,0.0031129577146639556,-0.0019058491360350938,0.0018646987842219122,0.005947181612557975,0.021401506174316673,0.013830476051066251,0.002434963290786191,-0.00026330705945884795,0.007236211356117212,0.003879936424427885,-0.0006984416056512121,0.004268229081392351,0.0024725641139797124
SVDB,0.006006168392870611,0.0020740807209968714,0.0014074333410039564,0.00024304619783114412,-0.004067728106800731,-0.00106268338979579,0.00014687612738259768,0.0006214259202141604,-0.0004949882337222841,0.011551686976527573,0.00781364684642822,0.0016605450407897167,-0.0003726952623237688,-0.004120753483259222,-0.00285552603587555,0.0012196013033198055,0.0001437896859767778,-0.002131669852901628,0.011315743529541789,0.005099529453673916,0.0016788963377600723,-0.00033818860974531187,-0.008429520860163239,-0.0028862392693204276,-0.00023861377812251663,6.901649459731432e-05,0.0005795588832685611
SWaT,0.1496729197534532,-0.0230979255096189,-0.0003112656987027,-0.0025221539904788,0.0957821130037095,0.0540046250188983,-0.0071115083879834,-0.0153411109529364,0.009107266260266,0.118121475265213,0.0173814990297458,-0.0017031659852302,-0.0067992999510054,0.0988164437833156,0.0619815426077879,0.0104601518869834,0.0056591604517498,-0.0036918598411955,0.1269404989727767,0.0272562600063397,0.0219212648788206,0.0123668917798652,0.0460032298353134,0.0486585790723798,0.0058888447461639,0.0049082805158319,0.0329679093087508
Stock,0.0004239326554424757,0.00112647171030795,7.354911598762236e-05,-0.0006262768531370966,0.05008665926003417,-0.009336733879465495,0.00013230633295004994,-0.000808635316278825,-0.0014257836113181126,0.006449785749717012,-0.001018461869615525,-0.0005565104555208822,-0.001381666526554275,0.05272710996651679,-0.010688121866124516,0.0002769810921405631,-0.00032384396466605004,-0.001704506349375775,0.005469543553239875,-0.012208484531605564,-0.000306824380966,0.005010916187171062,0.03759295849498059,-0.0010929268452418497,0.002308933783696575,0.0022229186259753874,0.008195956172435988
TAO,-0.00226736162023495,0.0001478725944624,0.0030547174098153503,0.00168567254026765,0.0645827476206319,-0.0391063375328801,8.038936493418025e-05,-0.0016515093159464,-0.00164872925292985,0.0056020678526215,-0.0002740948425009153,0.00144270517761695,-0.0006101244053418,0.0798335286859061,-0.01169801625446275,0.0014970013640260502,0.0007679497511508,-0.0070028528520376,-0.0115986142667108,-0.0152954086162271,-0.013536798610462801,-0.0103257018446411,0.052026483087570394,-0.01600738079334775,-0.015260211237486849,-0.00864343825832025,-0.0052708948647388005
TODS,-0.011813941049241047,0.007217331499704454,-0.0009360206010932692,0.0001765826464410636,-0.017409048905995508,-0.0081223635041101,8.597619087967718e-05,0.0009439391101946922,-0.0015927817724189998,-0.007548192115443408,0.009337053468000817,0.0007950597665514024,0.00123774754273775,-0.027509336335974983,-0.01339215368962814,-0.0035240055857723696,0.0021505258069080308,-0.002199358174290307,-0.00819180416432783,0.0008028147362120155,0.0013547557454066982,-0.0002489334996334385,-0.01841385521017183,-0.006839655424525814,-0.0008543152687787672,-0.00042857334276181537,-0.0020952835334555847
UCR,-0.005190398520606259,5.288707942901473e-06,-6.206413781963761e-05,-8.6857851509256e-05,-0.0030976991890791857,-0.0011339735368008329,3.450445605457784e-05,0.0003264970413575354,-0.00039498669217024,-0.0051577848760064144,-0.0002591209619209835,-1.248914898483135e-05,-0.0004696138802411145,-0.0011103623706686405,-0.0004280060497769878,-0.0004772109978711511,0.0003091337842285279,0.0025112260939222746,-0.004661360109090687,-0.0005360696690666786,0.0006471462873800303,6.382818780191258e-05,-0.0014626063091395542,0.001000479597010684,0.0004193537305647157,0.0023942600115927537,0.001997052306050624
WSD,0.0030522537053157,0.0029383659899506103,0.00030990706728515016,0.000185507848095594,0.001368080137441869,-0.000564736413347057,9.378270950592977e-05,0.000651402023491399,0.0003737495782831951,0.01083287004257915,0.01032105749098676,-0.00031250473386292287,-0.0007317523566468916,0.006098883803123085,0.006276327047854982,0.0018366185691867502,0.0019447860029228,-0.0009021657023061399,0.01036073465963384,0.014975835967402073,0.0006269715015588685,-0.0002829490899979984,0.006483655996230591,0.00321045013905556,0.002806530451845668,0.004671396219677465,0.00525163756639596
YAHOO,0.0034255030106149628,-0.00029449218872311985,-0.00011942101050000844,-0.0001546294369451121,0.0063688946922995805,0.002776483861217273,7.192514030948168e-05,3.7369269035019365e-06,-0.0003040997259921496,0.00602500628623971,0.0013130251215019968,-0.0005622449542307467,-0.0007481912473978289,0.005044159681582807,0.004229907919254564,0.000521416174917357,-0.0003649497283464167,-0.0029065592947052836,0.004707329018356614,-0.0024167164047899834,0.00027260557269425057,0.0005327499766268568,0.0053806777187524095,0.0034530609628108102,0.001890941399820641,-6.0471168833907146e-05,0.00172709839780943
