probe,detector,omitted_source,mean_without_source,change_from_full
linear,SubPCA,CATSv2,0.011915096962360573,0.0006540653832426187
linear,SubPCA,Daphnet,0.011812334623323283,0.0005513030442053281
linear,SubPCA,Exathlon,0.008767314380556786,-0.0024937171985611687
linear,SubPCA,IOPS,0.011728998408903114,0.0004679668297851592
linear,SubPCA,LTDB,0.01218534728197484,0.0009243157028568857
linear,SubPCA,MGAB,0.011656678638802358,0.00039564705968440396
linear,SubPCA,MITDB,0.011852910351478315,0.0005918787723603602
linear,SubPCA,MSL,0.011981802247372329,0.0007207706682543745
linear,SubPCA,NAB,0.012552643803095436,0.0012916122239774817
linear,SubPCA,NEK,0.009796074015534766,-0.0014649575635831882
linear,SubPCA,OPPORTUNITY,0.007214900057610374,-0.004046131521507581
linear,SubPCA,Power,0.012931295631143296,0.0016702640520253418
linear,SubPCA,SED,0.014242551902732574,0.002981520323614619
linear,SubPCA,SMAP,0.011293540361330357,3.2508782212403026e-05
linear,SubPCA,SMD,0.011403113370308736,0.0001420817911907818
linear,SubPCA,SVDB,0.011499888996674656,0.00023885741755670133
linear,SubPCA,SWaT,0.004969582116648174,-0.0062914494624697805
linear,SubPCA,Stock,0.011753626984739569,0.0004925954056216146
linear,SubPCA,TAO,0.011875958542724907,0.0006149269636069529
linear,SubPCA,TODS,0.012309893971316094,0.0010488623921981396
linear,SubPCA,UCR,0.012008823856378149,0.0007477922772601946
linear,SubPCA,WSD,0.011634157846108968,0.00037312626699101403
linear,SubPCA,YAHOO,0.011617191968595368,0.0003561603894774133
linear,POLY,CATSv2,0.0005842839015669084,-6.730667924680393e-05
linear,POLY,Daphnet,0.0005206227399375856,-0.0001309678408761267
linear,POLY,Exathlon,0.0003575755104337615,-0.0002940150703799508
linear,POLY,IOPS,0.0006485509508991547,-3.0396299145576174e-06
linear,POLY,LTDB,0.0007852234105027129,0.00013363282968900062
linear,POLY,MGAB,0.0006125248755201526,-3.9065705293559686e-05
linear,POLY,MITDB,0.0005364011069470765,-0.00011518947386663584
linear,POLY,MSL,0.0003165355564053928,-0.0003350550244083195
linear,POLY,NAB,0.00035543327270824254,-0.00029615730810546976
linear,POLY,NEK,0.0006884617749413248,3.6871194127612483e-05
linear,POLY,OPPORTUNITY,0.0007628965209784976,0.00011130594016478534
linear,POLY,Power,0.0009846591041348584,0.00033306852332114613
linear,POLY,SED,0.0009029877257527016,0.0002513971449389893
linear,POLY,SMAP,0.00043315751685609356,-0.00021843306395761874
linear,POLY,SMD,0.0005983751481900152,-5.321543262369708e-05
linear,POLY,SVDB,0.0005869319380781142,-6.465864273559813e-05
linear,POLY,SWaT,0.0017311140394697402,0.0010795234586560279
linear,POLY,Stock,0.0006300050749276106,-2.1585505886101745e-05
linear,POLY,TAO,0.0006744868529205901,2.2896272106877834e-05
linear,POLY,TODS,0.00035314781177322405,-0.00029844276904048825
linear,POLY,UCR,0.0006809679386714765,2.9377357857764174e-05
linear,POLY,WSD,0.0005476462440347624,-0.00010394433677894991
linear,POLY,YAHOO,0.0006945943430653865,4.300376225167422e-05
linear,MOMENT_FT,CATSv2,-7.906266579858754e-05,-5.689895001348212e-05
linear,MOMENT_FT,Daphnet,-7.626755218604207e-05,-5.410383640093665e-05
linear,MOMENT_FT,Exathlon,-0.0001623991736159645,-0.00014023545783085905
linear,MOMENT_FT,IOPS,-4.122747667674176e-05,-1.9063760891636343e-05
linear,MOMENT_FT,LTDB,-9.309038568125254e-07,2.1232811928292895e-05
linear,MOMENT_FT,MGAB,0.0001558786110269517,0.00017804232681205713
linear,MOMENT_FT,MITDB,-3.899439953082634e-05,-1.6830683745720917e-05
linear,MOMENT_FT,MSL,-0.000127338104276257,-0.00010517438849115157
linear,MOMENT_FT,NAB,-6.430950458400232e-05,-4.21457887988969e-05
linear,MOMENT_FT,NEK,-0.00011280972946582615,-9.064601368072073e-05
linear,MOMENT_FT,OPPORTUNITY,0.00013753915745656601,0.00015970287324167142
linear,MOMENT_FT,Power,7.383844764985338e-05,9.60021634349588e-05
linear,MOMENT_FT,SED,0.00030996844571504884,0.00033213216150015424
linear,MOMENT_FT,SMAP,-0.00010726635112190197,-8.510263533679655e-05
linear,MOMENT_FT,SMD,-3.5704300591252975e-05,-1.3540584806147555e-05
linear,MOMENT_FT,SVDB,-8.714540018460826e-05,-6.498168439950284e-05
linear,MOMENT_FT,SWaT,-9.022716561578434e-06,1.3140999223526986e-05
linear,MOMENT_FT,Stock,-2.651429904750218e-05,-4.350583262396759e-06
linear,MOMENT_FT,TAO,-0.00016202194876694436,-0.00013985823298183893
linear,MOMENT_FT,TODS,1.9375233547083802e-05,4.153894933218922e-05
linear,MOMENT_FT,UCR,-2.035006023808127e-05,1.8136555470241496e-06
