detector,screen_sequences,official_vus_n,max_abs_vus_diff,mean_abs_vus_diff,min_length_match,min_finite_ratio,window_parity,score_output_available,status,failure_reason
Sub-IForest,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
IForest,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Sub-LOF,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
LOF,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
POLY,3,3,4.996003610813204e-16,3.3285006695304986e-16,True,1.0,True,True,PASS,
MatrixProfile,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
KShapeAD,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
SAND,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Series2Graph,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
SR,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Sub-PCA,3,3,8.499484380064537e-05,4.2739546503330984e-05,True,1.0,True,True,FAIL,VUS mismatch > 1e-6
Sub-HBOS,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Sub-OCSVM,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Sub-MCD,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Sub-KNN,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
KMeansAD,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
AutoEncoder,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
CNN,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
LSTMAD,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
TranAD,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
AnomalyTransformer,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
OmniAnomaly,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
USAD,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Donut,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
TimesNet,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
FITS,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
OFA,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Lag-Llama,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
Chronos,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
TimesFM,0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
MOMENT (ZS),0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
MOMENT (FT),0,0,,,False,0.0,False,False,FAIL,No official-compatible point-wise score output/cache screened
